x,y,z
1280.746,900.514,1
1279.612,899.121,1
1279.612,899.121,1
1277.011,899.786,1
1275.538,897.530,1
1272.145,897.687,1
1272.145,897.687,1
1271.153,895.424,1
1268.247,896.465,1
1266.562,894.707,1
1264.050,895.472,1
1264.050,895.472,1
1263.418,893.345,1
1261.208,893.403,1
1260.697,891.278,1
1260.697,891.278,1
1257.209,890.767,1
1256.339,888.668,1
1252.972,888.599,1
1252.021,886.472,1
1252.021,886.472,1
1249.291,887.065,1
1248.675,884.703,1
1246.305,885.075,1
1245.514,882.688,1
1245.514,882.688,1
1242.905,883.193,1
1241.892,880.893,1
1239.365,881.384,1
1239.365,881.384,1
1238.050,879.360,1
1235.322,879.497,1
1234.706,877.542,1
1232.046,879.143,1
1232.046,879.143,1
1231.070,877.583,1
1228.628,878.392,1
1228.511,876.377,1
1226.343,876.707,1
1226.343,876.707,1
1226.258,874.306,1
1223.168,874.502,1
1222.495,872.309,1
1222.495,872.309,1
1220.004,872.951,1
1219.421,870.712,1
1216.654,870.937,1
1215.966,868.650,1
1215.966,868.650,1
1212.969,868.593,1
1212.057,866.026,1
1209.536,865.913,1
1208.760,863.930,1
1208.760,863.930,1
1206.338,864.275,1
1205.354,862.416,1
1202.655,862.774,1
1202.655,862.774,1
1201.888,860.911,1
1199.228,861.000,1
1198.535,859.402,1
1195.936,859.593,1
1195.936,859.593,1
1195.705,857.440,1
1193.627,857.809,1
1193.483,856.182,1
1193.483,856.182,1
1191.003,855.881,1
1190.546,853.273,1
1187.267,852.960,1
1186.467,850.923,1
1186.467,850.923,1
1183.850,851.340,1
1183.322,849.309,1
1181.009,850.147,1
1181.009,850.147,1
1180.634,848.553,1
1178.262,848.956,1
1178.406,847.218,1
1176.213,847.290,1
1176.213,847.290,1
1176.341,845.864,1
1174.334,845.874,1
1174.197,844.306,1
1171.660,844.873,1
1171.660,844.873,1
1171.127,843.242,1
1168.393,843.643,1
1168.005,842.717,1
1165.050,843.968,1
1165.050,843.968,1
1164.979,841.892,1
1162.903,842.008,1
1163.542,840.867,1
1163.542,840.867,1
1162.562,841.429,1
1162.562,841.429,1
1162.562,841.429,1
1162.562,841.429,1
1162.562,841.429,1
1162.562,841.429,1
1162.562,841.429,1
1162.562,841.429,1
1162.562,841.429,1
1161.394,842.072,1
1158.577,842.228,1
1157.102,840.404,1
1157.102,840.404,1
1153.371,840.831,1
1153.159,839.284,1
1150.007,839.771,1
1150.007,839.771,1
1148.549,838.312,1
1146.059,839.836,1
1144.959,838.215,1
1142.075,838.358,1
1142.075,838.358,1
1141.498,837.172,1
1139.593,837.838,1
1138.396,836.520,1
1136.275,837.219,1
1136.275,837.219,1
1135.147,835.328,1
1132.944,835.866,1
1131.376,833.861,1
1131.376,833.861,1
1129.354,835.623,1
1127.271,833.227,1
1125.463,834.868,1
1123.838,833.603,1
1123.838,833.603,1
1121.987,835.426,1
1120.508,833.430,1
1118.133,834.094,1
1116.765,831.722,1
1116.765,831.722,1
1114.276,832.224,1
