x,y,z
1200.535,861.274,1
1199.865,859.449,1
1199.865,859.449,1
1197.165,859.512,1
1196.560,857.966,1
1194.009,858.139,1
1194.009,858.139,1
1193.812,855.965,1
1191.786,856.344,1
1191.652,854.658,1
1191.652,854.658,1
1189.215,854.418,1
1188.937,851.912,1
1185.729,851.557,1
1185.729,851.557,1
1185.206,849.618,1
1182.740,850.000,1
1182.740,850.000,1
1182.126,848.095,1
1179.726,848.848,1
1179.404,847.324,1
1179.404,847.324,1
1177.013,847.839,1
1177.172,845.994,1
1175.014,845.939,1
1175.014,845.939,1
1175.430,844.672,1
1173.548,844.775,1
1173.074,843.369,1
1173.074,843.369,1
1170.618,843.905,1
1170.088,842.318,1
1167.191,842.672,1
1167.191,842.672,1
1166.644,841.680,1
1163.733,843.121,1
1163.452,841.361,1
1163.452,841.361,1
1161.086,841.549,1
1161.920,840.404,1
1161.920,840.404,1
1161.327,840.915,1
1161.327,840.915,1
1161.327,840.915,1
1161.327,840.915,1
1161.327,840.915,1
1161.327,840.915,1
1161.327,840.915,1
1161.327,840.915,1
1161.327,840.915,1
1161.327,840.915,1
1161.327,840.915,1
1160.096,841.589,1
1157.316,841.745,1
1156.497,839.779,1
1156.497,839.779,1
1153.026,840.031,1
1152.538,838.501,1
1149.787,839.034,1
1149.787,839.034,1
1148.920,837.851,1
1146.664,839.468,1
1145.449,837.829,1
1145.449,837.829,1
1142.649,838.116,1
1141.853,836.715,1
1139.878,837.326,1
1139.878,837.326,1
1138.201,836.172,1
1136.254,836.814,1
1135.406,834.976,1
1135.406,834.976,1
1133.459,835.645,1
1131.352,833.480,1
1129.677,835.326,1
1129.677,835.326,1
1127.878,832.860,1
1126.131,834.438,1
1124.552,833.157,1
1124.552,833.157,1
1122.438,834.924,1
1120.817,832.910,1
1118.362,833.609,1
1118.362,833.609,1
1116.302,831.176,1
1113.940,831.697,1
1112.182,830.160,1
1112.182,830.160,1
1110.036,831.554,1
1108.945,829.948,1
1106.419,830.589,1
1106.419,830.589,1
1104.722,828.701,1
1102.497,829.501,1
1101.364,827.077,1
1101.364,827.077,1
1099.242,827.374,1
1096.911,824.943,1
1094.269,825.574,1
1094.269,825.574,1
1093.259,823.413,1
1089.639,823.652,1
1089.562,821.886,1
1089.562,821.886,1
1086.238,823.308,1
1085.368,821.761,1
1085.368,821.761,1
1083.266,822.954,1
1083.980,820.553,1
1080.790,819.353,1
1080.790,819.353,1
1080.591,817.505,1
1079.204,820.220,1
1078.388,819.481,1
1078.388,819.481,1
1077.541,821.254,1
1077.356,819.364,1
1074.974,819.957,1
1074.974,819.957,1
1074.410,817.938,1
1071.780,817.378,1
1071.965,814.983,1
1071.965,814.983,1
1069.523,813.990,1
1072.492,812.439,1
1071.677,811.550,1
1071.677,811.550,1
1073.245,809.954,1
1071.014,809.462,1
1071.554,807.668,1
1071.554,807.668,1
1070.542,808.355,1
1072.969,807.181,1
1071.141,807.219,1
1071.956,805.989,1
1070.132,807.550,1
1067.909,806.720,1
1067.909,806.720,1
1067.627,810.616,1
1065.137,810.155,1
1064.348,812.164,1
1062.409,810.265,1
1062.595,812.269,1
1062.595,812.269,1
1062.306,810.530,1
1060.378,811.618,1
1057.876,809.347,1
1057.876,809.347,1
1056.001,811.170,1
1054.176,809.778,1
1051.312,810.788,1
1051.312,810.788,1
1049.855,809.019,1
1046.849,809.567,1
1046.202,807.600,1
1046.202,807.600,1
1043.364,806.005,1
1042.931,803.678,1
1040.525,802.295,1
1040.525,802.295,1
1039.983,799.890,1
1037.254,799.685,1
1035.191,797.027,1
1035.191,797.027,1
1033.448,797.116,1
1032.527,795.596,1
1030.041,795.764,1
1028.403,793.528,1
1025.482,794.422,1
1024.519,792.208,1
1024.519,792.208,1
1022.024,792.777,1
1020.877,790.791,1
1018.416,791.352,1
1016.939,789.363,1
1014.855,790.410,1
1014.142,788.582,1
1014.142,788.582,1
1011.981,789.006,1
1011.210,787.229,1
1008.832,787.985,1
1008.135,786.391,1
1005.709,786.575,1
1005.561,785.010,1
1005.561,785.010,1
1004.237,785.844,1
1003.357,783.761,1
1000.802,784.541,1
998.319,783.296,1
998.079,785.460,1
997.439,784.356,1
997.439,784.356,1
995.485,785.894,1
995.158,784.152,1
992.492,784.392,1
991.640,782.016,1
988.946,782.326,1
987.752,780.462,1
987.752,780.462,1
985.228,780.680,1
984.371,778.990,1
982.522,778.863,1
982.522,778.863,1
981.732,776.991,1
979.657,777.662,1
977.903,775.695,1
977.903,775.695,1
975.234,776.848,1
973.046,774.853,1
970.593,776.755,1
970.593,776.755,1
968.866,775.302,1
966.143,777.013,1
964.502,775.090,1
964.502,775.090,1
961.487,776.583,1
960.623,774.439,1
959.680,775.693,1
959.680,775.693,1
958.558,773.949,1
955.418,774.877,1
955.697,772.589,1
955.697,772.589,1
953.193,771.469,1
953.483,768.707,1
950.594,768.448,1
950.594,768.448,1
950.184,766.515,1
947.162,765.428,1
946.306,763.730,1
946.306,763.730,1
944.101,763.941,1
942.613,761.825,1
940.107,762.301,1
940.107,762.301,1
938.839,760.365,1
936.045,761.262,1
935.015,759.342,1
935.015,759.342,1
931.885,760.366,1
931.845,758.745,1
930.020,759.234,1
930.020,759.234,1
928.876,757.363,1
927.183,758.825,1
926.135,756.703,1
926.135,756.703,1
924.734,757.469,1
923.304,755.940,1
921.334,757.934,1
921.334,757.934,1
920.457,756.625,1
918.762,758.028,1
916.876,757.592,1
916.876,757.592,1
916.107,760.130,1
914.504,760.251,1
913.377,762.234,1
913.377,762.234,1
911.829,761.803,1
909.619,763.316,1
908.195,761.882,1
908.195,761.882,1
906.140,763.536,1
904.838,763.343,1
903.909,764.687,1
903.909,764.687,1
902.858,763.891,1
902.422,765.747,1
901.566,765.496,1
901.566,765.496,1
900.383,767.532,1
899.182,766.578,1
896.477,767.313,1
896.477,767.313,1
895.434,765.890,1
893.007,766.766,1
892.124,765.509,1
892.124,765.509,1
889.327,766.432,1
888.228,764.679,1
887.225,766.009,1
887.225,766.009,1
886.029,764.923,1
883.499,765.899,1
883.499,765.899,1
883.170,764.259,1
880.436,764.478,1
880.155,762.957,1
877.206,762.898,1
877.206,762.898,1
877.060,761.255,1
874.289,760.095,1
874.235,757.573,1
874.235,757.573,1
870.701,756.315,1
869.560,753.622,1
864.346,752.044,1
863.738,749.549,1
858.123,748.127,1
858.123,748.127,1
858.029,746.328,1
857.084,746.003,1
857.084,746.003,1
857.266,745.342,1
859.521,743.279,1
859.521,743.279,1
858.500,740.489,1
860.131,738.698,1
859.360,735.307,1
