id,layer,x,y
571,1,1564.79398197,949.33101803
572,1,1505.64699099,992.551504507
573,2,1520.17650451,1009.67650451
574,2,1572.19849549,956.0
575,2,1622.82349549,895.625
576,2,1578.5,934.073495493
577,3,1589.5,946.5
578,3,1632.52951352,909.345486478
579,1,1527.98610818,973.272567612
580,1,1610.57349549,997.75
581,0,1602.0,1021.125
582,0,1523.5,988.426504507
583,2,865.75,721.948495493
584,2,834.228009015,711.375
585,1,824.051504507,740.426504507
586,1,855.33796394,751.720486478
587,2,776.875,812.375
588,2,769.125,795.676504507
589,2,729.176504507,795.603009015
590,2,745.375,787.875
591,1,776.875,812.375
592,1,769.125,795.676504507
593,1,729.176504507,795.603009015
594,1,745.375,787.875
619,1,952.909375,888.19375
620,1,996.60625,903.2125
621,1,728.055905343,803.304862577
625,1,770.932089243,818.673495493
828,1,834.00625,710.444444444
829,1,865.172800901,720.970254068
830,1,823.669687227,664.806522648
831,1,907.61435576,691.925603562
832,1,870.38021273,805.689378298
833,1,786.704613019,778.594555666
834,1,551.534375,565.242222222
835,1,694.274375,615.726666667
836,1,648.981875,742.278888889
837,1,507.9575,695.205555556
838,1,694.960625,758.275555556
839,1,822.26,800.914444444
840,1,805.79,855.151111111
841,1,677.149584433,809.902153144
842,2,1594.565,886.131111111
843,2,1638.84875,934.066666667
844,2,1513.99004178,1040.18782578
845,2,1474.21969712,994.363354405
846,2,824.794790567,674.47203606
847,2,884.975,696.247522537
848,2,857.421527045,777.175486478
849,2,797.17337621,755.125576627
850,3,1626.38388852,877.803450418
851,3,1653.428125,908.16
852,3,1589.66532212,961.04601803
853,3,1561.28595042,930.848585642
854,0,1521.46099549,944.903009015
855,0,1597.13125,971.173333333
856,0,1574.85,1037.1
857,0,1499.17974549,1007.74321625
858,0,618.88398197,619.576549582
859,0,699.332477463,647.851063105
860,0,681.004513522,703.344954925
861,0,600.2,673.72
862,2,709.2001530889135,754.9190059731393
863,2,821.1324999999999,795.9866666666667
